gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,decimalLongitude,decimalLatitude,xtr
812649804,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-13381,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",US,"Franklin, 0.5 mi SW; T16S, R5W, S29",Oregon,PRESENT,,f56c5f80-055c-11d8-b84e-b8a03c50a862,1152,,,,,,1970-01-15T00:00:00Z,15,1,1970,2434566,2434566,PRESERVED_SPECIMEN,PSM,Mammal,Mammal-13381,"","",,CC0_1_0,"",C. Maser & D. Smith,,"",2023-04-28T02:24:39.255Z,"",COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,-123.3156971,44.1492316,484
1211842127,c5c4a23e-2035-4416-ab64-032d6df52ddb,URI:catalog:ROM:Mammals:80081,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",CA,3 km Ne of Cavan,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,1.84,,,,,,1977-03-19T00:00:00Z,19,3,1977,2434566,2434566,PRESERVED_SPECIMEN,ROM,Mammals,80081,"","",,CC_BY_NC_4_0,Royal Ontario Museum; ROM,"McRae, D",,"",2023-01-25T08:51:15.644Z,"",INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,-78.43122,44.22651,354
1211841488,c5c4a23e-2035-4416-ab64-032d6df52ddb,URI:catalog:ROM:Mammals:82841,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",CA,"5 km E of Claremont, Balsam Area",Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,3.72,,,,,,1979-10-24T00:00:00Z,24,10,1979,2434566,2434566,PRESERVED_SPECIMEN,ROM,Mammals,82841,"","",,CC_BY_NC_4_0,Royal Ontario Museum; ROM,"Hall, P",,"",2023-01-25T08:50:48.684Z,"",INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,-79.128442,43.97281,920
2005725406,4837d6b0-19fe-4fe4-9ddf-b62dd17a060e,http://arctos.database.museum/guid/CHAS:Mamm:5065?seid=4236783,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",US,Willowbrook Wildlife Center,Illinois,PRESENT,,f2489500-dbab-4fbc-95ed-19eead127483,2877,,,,,,1988-01-01T00:00:00Z,1,1,1988,2434566,2434566,PRESERVED_SPECIMEN,CHAS,Mamm,CHAS:Mamm:5065,"",unknown,,CC0_1_0,"",Collector(s): R. Jessup,,"",2023-04-28T17:34:11.325Z,"",CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY,-87.935893,41.769753,11040
919441294,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.36004,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",US,"Mason, near courthouse",Michigan,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,152,,,,,,1998-10-07T00:00:00Z,7,10,1998,2434566,2434566,PRESERVED_SPECIMEN,MSU,MR,MR.36004,"","",,CC0_1_0,"",Ingham County Animal Control,,Native,2023-01-24T15:49:19.820Z,"",COORDINATE_REPROJECTED,-84.4420927,42.5796514,1192
919431966,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.35448,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",US,"Alaiedon Township, T3N, R1W, Section 1 (880 Stillman Road)",Michigan,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,187,,,,,,1990-12-10T00:00:00Z,10,12,1990,2434566,2434566,PRESERVED_SPECIMEN,MSU,MR,MR.35448,"","",,CC0_1_0,"",Laura Marie Abraczinskas,,Native,2023-01-24T15:49:22.749Z,"",COORDINATE_REPROJECTED,-84.380991,42.6691505,2315
1987279147,6d2cfc0a-9903-40b8-802b-403398218e4a,63057e62-f315-45b3-b607-834653e9c8c2,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,cinereoargenteus,SUBSPECIES,Urocyon cinereoargenteus cinereoargenteus,Urocyon cinereoargenteus cinereoargenteus,"",US,"TES, R6E, SEC 6, PITTSFIELD",Michigan,PRESENT,,6ea87510-0561-11d8-b851-b8a03c50a862,0.71,,,,,,1975-10-27T00:00:00Z,27,10,1975,7059385,2434566,PRESERVED_SPECIMEN,UMMZ,mammals,164961,LPR1036,"",,CC_BY_NC_4_0,"","GLOVER, JOHN",,Native,2023-05-04T21:06:08.094Z,"",COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,-83.7690724,42.2483554,2841
2804494704,2aa02cf8-c402-412c-9ad1-585e1e185bef,http://arctos.database.museum/guid/ASNHC:Mamm:5682?seid=4404192,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",US,Kingsville,Ohio,PRESENT,,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,3036,,,,,,1979-11-06T00:00:00Z,6,11,1979,2434566,2434566,PRESERVED_SPECIMEN,ASNHC,Mamm,ASNHC:Mamm:5682,"",unknown,1979-11-06T00:00:00Z,CC0_1_0,"",Collector(s): Robert C. Dowler; Preparator(s): Robert C. Dowler,,"",2023-04-28T17:27:06.128Z,"",CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,-80.67639,41.89083,922
2804483967,2aa02cf8-c402-412c-9ad1-585e1e185bef,http://arctos.database.museum/guid/ASNHC:Mamm:5678?seid=4404163,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",US,east Conneaut,Ohio,PRESENT,,9c0a8aa8-4ce7-49ba-aac7-21a97234f886,2000,,,,,,1979-10-27T00:00:00Z,27,10,1979,2434566,2434566,PRESERVED_SPECIMEN,ASNHC,Mamm,ASNHC:Mamm:5678,"",unknown,1979-10-27T00:00:00Z,CC0_1_0,"",Collector(s): Robert C. Dowler; Preparator(s): Robert C. Dowler,,"",2023-04-28T17:27:02.411Z,"",CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,-80.545,41.93972,2446
1211835443,c5c4a23e-2035-4416-ab64-032d6df52ddb,URI:catalog:ROM:Mammals:82842,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,"",SPECIES,"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"",CA,"Walsingham Township, Walsingham, 4 mi N of Cultus, Concession 8",Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,3.35,,,,,,1978-10-25T00:00:00Z,25,10,1978,2434566,2434566,PRESERVED_SPECIMEN,ROM,Mammals,82842,"","",,CC_BY_NC_4_0,Royal Ontario Museum; ROM,"Wilson, Q",,"",2023-01-25T08:50:48.235Z,"",INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,-80.69223,42.63417,261
