decimalLongitude,decimalLatitude,year,layer_dates,layers_path
-97.324843,18.71564,1939,1939-01-01,/media/miguel/TOSHIBA EXT/Biomex//1939
-97.308333,18.725,1940,1940-01-01,/media/miguel/TOSHIBA EXT/Biomex//1940
-97.358333,18.775,1941,1941-01-01,/media/miguel/TOSHIBA EXT/Biomex//1941
-97.041667,19.608333,1941,1941-01-01,/media/miguel/TOSHIBA EXT/Biomex//1941
-97.308333,18.725,1941,1941-01-01,/media/miguel/TOSHIBA EXT/Biomex//1941
-97.336361,18.700556,1941,1941-01-01,/media/miguel/TOSHIBA EXT/Biomex//1941
-97.308333,18.725,1950,1950-01-01,/media/miguel/TOSHIBA EXT/Biomex//1950
-97.091667,19.658333,1950,1950-01-01,/media/miguel/TOSHIBA EXT/Biomex//1950
-97.4381165331833,18.529832447632,1952,1952-01-01,/media/miguel/TOSHIBA EXT/Biomex//1952
-97.296898,18.720301,1963,1963-01-01,/media/miguel/TOSHIBA EXT/Biomex//1963
-97.308333,18.725,1963,1963-01-01,/media/miguel/TOSHIBA EXT/Biomex//1963
-97.3333886042029,18.7006576475711,1969,1969-01-01,/media/miguel/TOSHIBA EXT/Biomex//1969
-97.3500589344843,18.6806585464269,1970,1970-01-01,/media/miguel/TOSHIBA EXT/Biomex//1970
-97.2800573415369,18.7006578033034,1970,1970-01-01,/media/miguel/TOSHIBA EXT/Biomex//1970
-97.3333886042029,18.7006576475711,1971,1971-01-01,/media/miguel/TOSHIBA EXT/Biomex//1971
-97.041667,19.625,1972,1972-01-01,/media/miguel/TOSHIBA EXT/Biomex//1972
-97.041667,19.608333,1972,1972-01-01,/media/miguel/TOSHIBA EXT/Biomex//1972
-97.0272762951915,19.6114488008674,1972,1972-01-01,/media/miguel/TOSHIBA EXT/Biomex//1972
-97.0333845685028,19.6506139633374,1972,1972-01-01,/media/miguel/TOSHIBA EXT/Biomex//1972
-97.341667,18.708333,1973,1973-01-01,/media/miguel/TOSHIBA EXT/Biomex//1973
-97.338056,18.699722,1973,1973-01-01,/media/miguel/TOSHIBA EXT/Biomex//1973
-97.336389,18.700639,1973,1973-01-01,/media/miguel/TOSHIBA EXT/Biomex//1973
-97.041667,19.608333,1974,1974-01-01,/media/miguel/TOSHIBA EXT/Biomex//1974
-97.308333,18.725,1974,1974-01-01,/media/miguel/TOSHIBA EXT/Biomex//1974
-97.345278,18.711111,1974,1974-01-01,/media/miguel/TOSHIBA EXT/Biomex//1974
-97.0272762951915,19.6114488008674,1974,1974-01-01,/media/miguel/TOSHIBA EXT/Biomex//1974
