gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,srtm_17_09
1895769269,7fee23ae-f762-11e1-a439-00145eb45e9a,urn:catalog:EB-BUAP:EBUAP:723:6bcb9c29d48b5392bfb48846c401b116,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"APROX 8 KM AL SW DE ZOQUITLAN, CERCA DE LA DESVIACION A TEPEYOLO",Puebla,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.3020694122765,-97.0536687136808,,,1342.5,1342.5,0,0,1996-06-20T00:00:00Z,20,6,1996,5226604,5226604,PRESERVED_SPECIMEN,EB-BUAP,EBUAP,723,"",LCM,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),LCM,"","",2022-11-25T06:12:22.027Z,"",COORDINATE_ROUNDED;COORDINATE_REPROJECTED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2481
1894927747,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:4293:22463c831787f09fe7fc258266a815d9,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Puerto del Aire,Puebla,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.658333,-97.391667,90,,0,0,0,0,1988-07-09T00:00:00Z,9,7,1988,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,4293,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),VICTOR ROBLEDO,"","",2022-11-25T06:12:48.359Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2074
1894927736,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:5032:8cc9184d566b69dfe73f8b3dd652e539,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"JOYA, LA",Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.608333,-97.041667,80,,0,0,0,0,1991-05-01T00:00:00Z,,5,1991,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,5032,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Walter Schmidt Ballardo,"","",2022-11-25T06:12:52.329Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2279
1894886245,cf6ee0a4-cde8-4983-882c-a6e4d2f7de7e,urn:catalog:FC-UNAM:MZFC:MZFC7816:babbca4956c525bdaa4b640c546b1cca,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Tepeyahualco,Puebla,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,19.493,-97.486,80,,1135,1135,0,0,1995-09-26T00:00:00Z,26,9,1995,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,MZFC7816,"",Walter Schmidt Ballardo,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Walter Schmidt Ballardo,"","",2022-11-25T10:42:10.315Z,"",ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,2354
1894859728,7ff48302-f762-11e1-a439-00145eb45e9a,urn:catalog:MVZ-UCB:MVZ:146941-146943:fcbec4dd9448c153ee04d498bb8f1682,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,4.2 MI. W (POR LA CA.150) Y O.5 MI. E DE ACULTZINGO,Veracruz de ignacio de la llave,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,18.7081,-97.33723,3110,,0,0,0,0,1977-01-01T00:00:00Z,,,1977,5226604,5226604,PRESERVED_SPECIMEN,MVZ-UCB,MVZ,146941-146943,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,"","",2022-11-25T06:12:34.168Z,"",RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2209
1894859725,7ff48302-f762-11e1-a439-00145eb45e9a,urn:catalog:MVZ-UCB:MVZ:111213:f807eb19a00d84662a39c39df95d1c8e,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"1 KM W CENTRO DE LA JOYA, FUERA DE LA CA.140, NW DE JALAPA",Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.625,-97.041667,80,,0,0,0,0,1972-01-01T00:00:00Z,,,1972,5226604,5226604,PRESERVED_SPECIMEN,MVZ-UCB,MVZ,111213,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,"","",2022-11-25T06:12:32.925Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2221
1894859701,7ff48302-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:04124:a3ddc49c37395d5b10eb3551428473df,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"ACULTZINGO, 1 KM S DE PUERTO DEL AIRE",Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.725,-97.308333,90,,850,850,0,0,1988-01-01T00:00:00Z,,,1988,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,04124,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,"","",2022-11-25T06:12:32.866Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,1680
1894859696,7ff48302-f762-11e1-a439-00145eb45e9a,"urn:catalog:CAS:CAS-HERP:138886,139672,140365:8fe4dcee6d67caec4fb1219974c0a787",Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Puerto del Aire,Veracruz de ignacio de la llave,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,18.708333,-97.341667,90,,0,0,0,0,1973-01-01T00:00:00Z,,,1973,5226604,5226604,PRESERVED_SPECIMEN,CAS,CAS-HERP,"138886,139672,140365","",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,"","",2022-11-25T06:12:32.769Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2388
1894859695,7ff48302-f762-11e1-a439-00145eb45e9a,urn:catalog:MVZ-UCB:MVZ:137081:7b94294dad7d51073a4594a91f0ad292,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,0.8 KM S (CA.150) PUERTO DEL AIRE,Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.690556,-97.340556,90,,0,0,0,0,1976-01-01T00:00:00Z,,,1976,5226604,5226604,PRESERVED_SPECIMEN,MVZ-UCB,MVZ,137081,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,"","",2022-11-25T06:12:32.746Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2296
1894783477,264da7bf-9e07-4480-aab7-a76cd38c6e9c,urn:catalog:IBUNAM:CNAR:19725:27d5bee0f50707e42b2eb824efd176a5,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Puerto del Aire,Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.7175,-97.336111,90,,1190,1190,0,0,1998-10-25T00:00:00Z,25,10,1998,5226604,5226604,PRESERVED_SPECIMEN,IBUNAM,CNAR,19725,"",AJGH,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),DAV,"","",2022-11-24T20:12:57.316Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,2059
