gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,srtm_17_09,biomex_bio_01,biomex_bio_02,biomex_bio_03,biomex_bio_04,biomex_bio_05,biomex_bio_06,biomex_bio_07,biomex_bio_08,biomex_bio_09,biomex_bio_10,biomex_bio_11,biomex_bio_12,biomex_bio_13,biomex_bio_14,biomex_bio_15,biomex_bio_16,biomex_bio_17,biomex_bio_18,biomex_bio_19
1894859696,7ff48302-f762-11e1-a439-00145eb45e9a,"urn:catalog:CAS:CAS-HERP:138886,139672,140365:8fe4dcee6d67caec4fb1219974c0a787",Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Puerto del Aire,Veracruz de ignacio de la llave,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,18.708333,-97.341667,90,,0,0,0,0,1973-01-01T00:00:00Z,,,1973,5226604,5226604,PRESERVED_SPECIMEN,CAS,CAS-HERP,"138886,139672,140365","",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,"","",2022-11-25T06:12:32.769Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2388,153.838714599609,93.1935501098633,57.1632270812988,1980.80639648438,231.258071899414,68,163.258071899414,168.220428466797,137.075271606445,173.392578125,126.516128540039,1003.74194335938,237.32258605957,6.67741918563843,0.939999997615814,545.935485839844,39,370.322570800781,52.677417755127
1145404288,09c4287e-e6d5-4552-a07f-bff8a00833d8,http://arctos.database.museum/guid/MVZ:Herp:106763?seid=125896,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,Puerto del Aire,Veracruz,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,18.699722,-97.338056,1172,,,,,,1973-01-01T00:00:00Z,1,1,1973,5226604,5226604,PRESERVED_SPECIMEN,MVZ,Herp,MVZ:Herp:106763,7879,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,"",Collector(s): Theodore J. Papenfuss,"","",2022-11-29T17:23:12.638Z,"",COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2374,141.193542480469,92.870964050293,57.4025802612305,1971.16125488281,217.774200439453,55.7741928100586,162,155.774200439453,124.155914306641,160.371292114258,114.129035949707,998.612915039062,237.483871459961,6.25806474685669,0.9477419257164,544.451599121094,36.7096786499023,397.516143798828,51.0967750549316
1894927736,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:5032:8cc9184d566b69dfe73f8b3dd652e539,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"JOYA, LA",Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.608333,-97.041667,80,,0,0,0,0,1991-05-01T00:00:00Z,,5,1991,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,5032,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Walter Schmidt Ballardo,"","",2022-11-25T06:12:52.329Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2279,132.32258605957,72.129035949707,51.8006439208984,2203.77416992188,194.580642700195,55.0645179748535,139.516128540039,150.440856933594,112.424728393555,153.742584228516,102.129035949707,1629.12902832031,334.967742919922,24.6129035949707,0.729354858398438,758.225830078125,138.290328979492,599.258056640625,179.935485839844
543480804,cece4fc2-1fec-4bb5-a335-7252548e3f0b,urn:catalog:CAS:HERP:135689,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,La Joya (on Hwy 140),Veracruz,PRESENT,,66522820-055c-11d8-b84e-b8a03c50a862,19.6506139633374,-97.0333845685028,,,,,,,1972-12-18T00:00:00Z,18,12,1972,5226604,5226604,PRESERVED_SPECIMEN,CAS,HERP,135689,7528,"",,CC0_1_0,"",T.J. Papenfuss,"","",2022-11-29T16:27:55.504Z,StillImage,COORDINATE_REPROJECTED,2083,141.129028320313,70.5806427001953,50.9845161437988,2235.58056640625,203,64.2903213500977,138.709671020508,159.704299926758,119.629035949707,162.951934814453,110.74193572998,1586.38708496094,320.225799560547,24.2580642700195,0.717741906642914,742.193542480469,135.064514160156,604.709655761719,171.967742919922
1894886245,cf6ee0a4-cde8-4983-882c-a6e4d2f7de7e,urn:catalog:FC-UNAM:MZFC:MZFC7816:babbca4956c525bdaa4b640c546b1cca,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Tepeyahualco,Puebla,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,19.493,-97.486,80,,1135,1135,0,0,1995-09-26T00:00:00Z,26,9,1995,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,MZFC7816,"",Walter Schmidt Ballardo,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Walter Schmidt Ballardo,"","",2022-11-25T10:42:10.315Z,"",ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,2354,134.451614379883,88.0322570800781,55.6780624389648,2131.48388671875,206.903228759766,48.6129035949707,158.290328979492,151.956985473633,112.048385620117,155.33805847168,105.096771240234,639.967712402344,138.483871459961,6.4193549156189,0.804838716983795,316.838714599609,34.9032249450684,267.741943359375,41.8064498901367
812636371,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Herp:Herp-10273,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,Orizaba,Veracruz,PRESENT,,f56c5f80-055c-11d8-b84e-b8a03c50a862,18.8506512242782,-97.103355637267,,,,,,,1998-05-21T00:00:00Z,21,5,1998,5226604,5226604,PRESERVED_SPECIMEN,PSM,Herp,Herp-10273,"","",,CC0_1_0,"","DeGrauw, E.","",Native,2022-11-25T07:49:40.809Z,"",COORDINATE_ROUNDED;COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,1248,196.774200439453,87.5483856201172,54.7596778869629,2113.80639648438,272.129028320313,112.032257080078,160.096771240234,211.817199707031,178.715057373047,217.424835205078,167.645156860352,1356.09680175781,308.032257080078,14.6774196624756,0.877419352531433,729.870971679688,78.1612930297852,470.967742919922,100.612899780273
1893337851,3d349fc8-84bc-46f9-b4d7-f1b115a9c9d2,urn:catalog:FC-UNAM:MZFC:13258:c1eae3f30f4714d39a8030ad583ddb93,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,PUERTO DE LA SOLEDAD,Oaxaca,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.158333,-96.999722,,,1229,1229,0,0,1993-10-07T00:00:00Z,7,10,1993,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,13258,"",ART,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ART,"","",2022-11-24T21:18:39.778Z,"",COORDINATE_ROUNDED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2463,140.580642700195,90.129035949707,56.558708190918,1954.87097167969,216.354843139648,56.7741928100586,159.580642700195,153.741928100586,128.892471313477,159.666458129883,113.516128540039,1954.32263183594,478.419342041016,19.2258071899414,0.941290318965912,1088.58068847656,96.7096786499024,645.225830078125,151.580642700195
1145497999,09c4287e-e6d5-4552-a07f-bff8a00833d8,http://arctos.database.museum/guid/MVZ:Herp:191069?seid=222372,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,forest W of La Joya,Veracruz,PRESENT,,8edbbde0-055e-11d8-b850-b8a03c50a862,19.615,-97.031667,300,,2125,0,,,1982-08-28T00:00:00Z,28,8,1982,5226604,5226604,PRESERVED_SPECIMEN,MVZ,Herp,MVZ:Herp:191069,315,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,"","Collector(s): David M. Darda, Stanley K. Sessions","","",2022-11-29T17:23:14.940Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2207,133.935485839844,72.129035949707,51.7480659484863,2218.77416992188,196.580642700195,56.9354820251465,139.645156860352,152.306457519531,114.037635803223,155.586135864258,103.774192810059,1644.0322265625,338.322570800781,24.9354839324951,0.730322599411011,765.548400878906,139.580642700195,605.290344238281,182
1894927747,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:4293:22463c831787f09fe7fc258266a815d9,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Puerto del Aire,Puebla,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.658333,-97.391667,90,,0,0,0,0,1988-07-09T00:00:00Z,9,7,1988,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,4293,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),VICTOR ROBLEDO,"","",2022-11-25T06:12:48.359Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,2074,156.032257080078,94.2903213500977,57.5425796508789,1950.64514160156,234.096771240234,70,164.096771240234,170.091400146484,138.811828613281,175.349349975586,129.290328979492,557.322570800781,132.870971679688,3.22580647468567,0.930967748165131,298.903228759766,20.2258071899414,209.67741394043,26.1290321350098
657464664,7a25f7aa-03fb-4322-aaeb-66719e1a9527,09352480-648a-45e5-a7e9-624414b71406,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"",MX,3.2 km S. of Mex Hwy 150 at Puerto del Aire,Veracruz,PRESENT,1,493fe050-055d-11d8-b84f-b8a03c50a862,18.6806586048673,-97.3300584610309,,,,,,,1976-02-01T00:00:00Z,1,2,1976,5226604,5226604,PRESERVED_SPECIMEN,LACM,Herps,122493,M2979,"",,CC0_1_0,"","","",Native,2022-11-25T06:26:32.125Z,"",COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY,2436,136.67741394043,93.3225784301758,57.6238708496094,1968.83874511719,212.935485839844,50.7741928100586,162.161285400391,150.67204284668,119.483871459961,155.801284790039,109.548385620117,956.064514160156,228.129028320313,5.87096786499023,0.953870952129364,521.064514160156,34.1935501098633,379.451599121094,48.5806465148926
